NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;OEVP   ;SPOE   ;FPOE   ;NEOS   ;JETZT  ;GRUE   ;KPOE   ;WANDL  ;BIER   ;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;1;896;495;5;102;109;49;54;14;152;7;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;2;683;322;2;46;82;26;31;14;113;5;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;3;747;385;4;77;74;30;43;12;133;7;3;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;4;848;444;1;89;114;25;43;16;145;5;5;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;5;721;372;4;84;73;25;48;18;110;6;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;6;764;393;3;72;98;43;32;21;118;3;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;7;892;437;1;105;87;26;53;15;138;8;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;8;813;450;3;95;97;48;59;18;122;4;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;9;681;382;3;82;79;31;45;6;128;5;3;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;10;796;416;0;130;67;25;49;19;120;3;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;11;757;429;2;117;90;37;62;19;98;1;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;12;793;373;2;94;71;33;53;17;98;3;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;13;820;451;2;104;108;42;51;15;125;0;4;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;14;775;360;4;73;93;29;33;12;112;3;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;15;410;247;2;63;40;20;39;12;68;2;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;16;946;461;6;132;113;47;49;8;104;1;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;17;705;331;2;65;78;34;49;13;85;4;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;18;765;395;2;80;83;33;37;19;135;2;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;19;860;473;3;99;102;47;54;15;143;6;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;20;864;424;2;95;124;32;55;15;93;2;4;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;21;894;470;4;109;131;47;25;14;128;5;3;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;22;838;423;4;69;142;33;38;16;114;4;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;23;922;420;2;96;137;49;26;11;86;7;3;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;24;806;431;2;66;224;60;16;8;50;3;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;25;919;440;3;93;137;52;37;23;84;7;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;26;789;362;2;77;127;58;16;19;55;4;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;27;945;410;2;71;153;76;19;14;67;4;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;28;947;414;3;63;157;106;10;16;41;10;3;5;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;29;764;372;2;77;124;40;19;16;85;4;2;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;30;914;446;5;71;160;84;18;17;78;4;5;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;31;675;369;2;75;82;42;45;7;108;2;5;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;32;767;395;1;102;94;47;44;16;77;4;5;5;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;33;624;287;2;72;78;34;19;13;63;2;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;34;852;399;2;93;98;43;45;12;98;1;1;6;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;35;644;309;8;52;122;52;16;3;51;3;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;36;720;369;11;89;154;52;12;11;35;1;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;37;599;307;1;95;66;16;41;5;77;4;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;38;2040;452;3;110;91;32;75;8;126;5;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;39;743;383;0;94;66;23;46;20;125;7;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;40;1026;520;2;143;109;48;74;15;117;10;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;41;769;376;2;108;91;23;42;11;89;7;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;42;573;335;1;78;66;33;34;23;98;1;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;43;992;530;1;139;117;44;63;16;138;7;3;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;44;872;421;5;88;98;31;63;12;114;7;0;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;45;679;363;0;82;72;24;65;11;106;1;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;46;685;339;1;82;94;33;32;17;76;4;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;47;710;339;4;65;92;32;41;11;85;4;2;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;48;784;425;1;112;104;49;43;19;88;5;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;49;646;306;1;77;57;25;31;9;103;1;0;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;50;621;278;1;66;79;26;23;8;68;4;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;51;954;533;5;125;155;52;48;13;127;2;4;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;52;632;337;2;42;101;20;52;14;101;2;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;53;476;196;2;17;101;42;8;3;20;2;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;54;829;400;1;106;81;57;48;16;83;1;3;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;55;784;388;1;98;88;27;56;11;103;2;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;56;953;480;3;139;79;36;77;13;125;4;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;57;811;384;0;108;81;33;58;14;79;7;4;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;58;543;267;1;72;84;42;21;14;31;2;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;59;956;441;2;126;73;42;57;14;123;2;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;60;792;381;4;75;95;35;43;15;105;3;5;1;                                                                                                                                                                                                                 
